subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Chemistry,Atomic Structure,simple,What is the charge of a proton?,+1,-1,0,+2,A,Protons carry a positive charge of +1.
Chemistry,Atomic Structure,simple,Which subatomic particle is found in the nucleus?,Electron,Proton,Neutron,Both B and C,D,The nucleus contains protons and neutrons.
Chemistry,Atomic Structure,simple,What is the atomic number of carbon?,6,12,14,8,A,Carbon has 6 protons, so its atomic number is 6.
Chemistry,Atomic Structure,simple,How many electrons are in a neutral oxygen atom?,6,8,16,4,B,Oxygen has atomic number 8, so it has 8 electrons.
Chemistry,Atomic Structure,simple,Isotopes differ in the number of:,Protons,Electrons,Neutrons,Both A and B,C,Isotopes have the same number of protons but different neutrons.
Chemistry,Atomic Structure,simple,Which element has the symbol Na?,Nitrogen,Sodium,Neon,Nickel,B,Na is the chemical symbol for sodium.
Chemistry,Atomic Structure,simple,What does the mass number represent?,Protons only,Protons + Electrons,Protons + Neutrons,Neutrons only,C,Mass number = number of protons + neutrons.
Chemistry,Atomic Structure,simple,Which scientist proposed the planetary model of the atom?,J.J. Thomson,Ernest Rutherford,Niels Bohr,John Dalton,C,Niels Bohr proposed the Bohr model with fixed orbits.
Chemistry,Atomic Structure,simple,What is the charge of an electron?,+1,-1,0,+2,B,Electrons carry a negative charge.
Chemistry,Atomic Structure,simple,Which particle has the smallest mass?,Proton,Neutron,Electron,Nucleus,C,Electrons have much smaller mass than protons or neutrons.
Chemistry,Atomic Structure,medium,How many neutrons are in an atom of carbon-14?,6,8,14,20,B,Carbon-14 has 6 protons, so neutrons = 14 - 6 = 8.
Chemistry,Atomic Structure,medium,Which quantum number defines the shape of an orbital?,n,l,m_l,m_s,B,The azimuthal quantum number (l) determines orbital shape.
Chemistry,Atomic Structure,medium,Which electron configuration is correct for nitrogen (Z=7)?,1s² 2s² 2p³,1s² 2s² 2p⁶,1s² 2s² 2p⁵,1s² 2s² 2p⁶ 3s¹,A,Nitrogen has 7 electrons: 1s² 2s² 2p³.
Chemistry,Atomic Structure,medium,Which element has the highest first ionization energy?,Na,Mg,Al,Cl,D,Ionization energy increases across a period; Cl is farthest right among the options.
Chemistry,Atomic Structure,medium,What is the maximum number of electrons in the n=3 shell?,8,18,32,2,B,Maximum electrons in a shell = 2n² = 2(3)² = 18.
Chemistry,Atomic Structure,medium,Which of the following is an isoelectronic series?,Na⁺, Mg²⁺, Al³⁺,O²⁻, F⁻, Ne,Li, Be, B,C, N, O,B,O²⁻, F⁻, and Ne all have 10 electrons.
Chemistry,Atomic Structure,medium,Which spectral series of hydrogen lies in the visible region?,Lyman,Balmer,Paschen,Brackett,B,The Balmer series corresponds to visible light.
Chemistry,Atomic Structure,medium,What is the electron configuration of Fe²⁺?,[Ar] 4s² 3d⁶,[Ar] 3d⁶,[Ar] 4s² 3d⁴,[Ar] 3d⁵,B,Fe is [Ar] 4s² 3d⁶; Fe²⁺ loses two electrons from 4s first.
Chemistry,Atomic Structure,medium,Which principle states that no two electrons can have the same four quantum numbers?,Aufbau principle,Pauli exclusion principle,Hund's rule,Heisenberg uncertainty principle,B,The Pauli exclusion principle defines uniqueness of quantum states.
