subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Psychology","Chapter 7","simple","Memory is defined as?","Permanent storage","Temporary storage","Encoding storage and retrieval of information","Only recall","C","Memory involves encoding, storing, and retrieving information."
"Psychology","Chapter 7","simple","Which is the first process of memory?","Storage","Retrieval","Encoding","Forgetting","C","Encoding occurs before storage."
"Psychology","Chapter 7","simple","Sensory memory retains information for?","Minutes","Hours","Seconds","Days","C","Sensory memory lasts only briefly."
"Psychology","Chapter 7","simple","Echoic memory is related to?","Vision","Hearing","Touch","Smell","B","Echoic memory is auditory."
"Psychology","Chapter 7","simple","Iconic memory is associated with?","Vision","Hearing","Taste","Smell","A","Iconic memory stores visual information."
"Psychology","Chapter 7","simple","Short-term memory capacity is?","2 items","5 items","7±2 items","Unlimited","C","STM can hold about seven items."
"Psychology","Chapter 7","simple","Which memory system stores skills?","Episodic","Semantic","Procedural","Sensory","C","Procedural memory stores learned skills."
"Psychology","Chapter 7","simple","Long-term memory capacity is?","Limited","Very small","Unlimited","Fixed","C","Long-term memory has vast capacity."
"Psychology","Chapter 7","simple","Which memory involves personal experiences?","Semantic","Episodic","Procedural","Implicit","B","Episodic memory stores life events."
"Psychology","Chapter 7","simple","Chunking helps memory by?","Reducing stress","Increasing items","Organizing information","Removing interference","C","Chunking groups information meaningfully."
"Psychology","Chapter 7","medium","Maintenance rehearsal mainly involves?","Meaningful processing","Deep encoding","Simple repetition","Imagery","C","Maintenance rehearsal relies on rote repetition."
"Psychology","Chapter 7","medium","Elaborative rehearsal improves memory because?","It is faster","It adds meaning","It reduces decay","It avoids interference","B","Meaningful encoding strengthens memory."
"Psychology","Chapter 7","medium","Semantic memory includes?","Skills","Personal events","General facts","Emotions","C","Semantic memory stores facts and knowledge."
"Psychology","Chapter 7","medium","Which principle states recall improves with matching context?","Decay theory","Encoding specificity","Interference theory","Repression","B","Matching cues aid retrieval."
"Psychology","Chapter 7","medium","Which factor best transfers STM to LTM?","Time","Rehearsal","Forgetting","Interference","B","Rehearsal strengthens encoding."
"Psychology","Chapter 7","medium","Which type of memory is explicit?","Procedural","Implicit","Episodic","Sensory","C","Episodic memory requires conscious recall."
"Psychology","Chapter 7","medium","Which forgetting occurs when new learning blocks old?","Proactive interference","Retroactive interference","Decay","Repression","B","New information interferes with old memories."
"Psychology","Chapter 7","medium","Which forgetting occurs when old blocks new?","Retroactive interference","Decay","Proactive interference","Encoding failure","C","Old memories block new learning."
"Psychology","Chapter 7","medium","Distributed practice improves memory by?","Cramming","Spacing learning","Reducing effort","Increasing stress","B","Spacing enhances long-term retention."
"Psychology","Chapter 7","medium","Which memory works without awareness?","Explicit","Semantic","Implicit","Episodic","C","Implicit memory influences behavior unconsciously."
"Psychology","Chapter 7","hard","Which evidence weakens decay theory?","Time erases memory","Interference explains forgetting","Sensory memory loss","STM limits","B","Forgetting often occurs due to interference."
"Psychology","Chapter 7","hard","Why are eyewitness memories unreliable?","Poor vision","Memory reconstruction","Low confidence","Weak encoding","B","Memories can be altered after the event."
"Psychology","Chapter 7","hard","Which experiment showed false memories?","Pavlov conditioning","Ebbinghaus curve","Loftus misinformation","Skinner's box","C","Loftus showed memory distortion."
"Psychology","Chapter 7","hard","Flashbulb memories are best described as?","Always accurate","Vivid but fallible","False memories","Procedural","B","They feel strong but can be inaccurate."
"Psychology","Chapter 7","hard","Tip-of-the-tongue phenomenon reflects?","Encoding failure","Memory loss","Retrieval failure","Interference","C","Information is stored but temporarily inaccessible."
"Psychology","Chapter 7","hard","Which memory resists forgetting most?","Episodic","Semantic","Procedural","Sensory","C","Skills persist longer than facts."
"Psychology","Chapter 7","hard","Why does encoding failure occur?","Memory erased","Information never stored","STM overload","Emotion blocks recall","B","If not encoded, it cannot be recalled."
"Psychology","Chapter 7","hard","Which condition best supports state-dependent memory?","Noise","Learning while intoxicated","Bright light","Distraction","B","Recall improves when internal state matches."
"Psychology","Chapter 7","hard","Why is repression controversial?","Always false","Conscious process","Lacks empirical evidence","Only emotional","C","It is difficult to scientifically test."
"Psychology","Chapter 7","hard","Which strategy best prevents forgetting?","Cramming","Overlearning","Minimal rehearsal","Stress","B","Overlearning strengthens memory traces."
"Psychology","Chapter 7","hard","Why does multitasking harm memory?","Improves encoding","Divides attention","Increases rehearsal","Enhances STM","B","Attention is limited during encoding."
"Psychology","Chapter 7","hard","Which statement about forgetting is TRUE?","Memory erased permanently","Always decay-based","Often retrieval failure","Only STM affected","C","Forgetting often reflects retrieval problems."
"Psychology","Chapter 7","hard","Which finding challenges memory as a recording?","Perfect recall","Reconstructive nature","Flashbulb permanence","High confidence accuracy","B","Memory is actively reconstructed."
"Psychology","Chapter 7","hard","Which cue most improves recall?","Random guessing","Matching context","New information","Stress","B","Retrieval cues aid access."
"Psychology","Chapter 7","hard","Why are false memories dangerous?","They fade fast","They feel real","They affect STM only","They are rare","B","False memories strongly influence behavior."
"Psychology","Chapter 7","hard","Which process links emotion strongly to memory?","Decay","Repression","Amygdala activation","Chunking","C","Emotion strengthens memory encoding."
"Psychology","Chapter 7","hard","Which memory system explains priming?","Explicit","Episodic","Implicit","Semantic","C","Priming occurs without conscious awareness."
"Psychology","Chapter 7","hard","Which factor MOST improves long-term memory?","Cramming","Sleep deprivation","Distributed practice","Stress","C","Spacing learning improves retention."
